,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
933,20,70,125.6,84.1,32.2,9.3
934,20,70,125.2,82.9,31.1,11.1
935,20,70,123.1,82.9,32.5,7.7
936,20,70,127.0,85.6,30.8,10.6
937,20,70,119.7,81.2,32.0,6.4
938,20,70,122.8,82.4,30.7,9.7
939,20,70,121.8,84.2,29.6,8.0
940,20,75,123.4,81.8,33.9,7.7
941,20,75,125.5,84.4,33.2,7.9
942,20,75,127.6,83.1,33.6,10.9
943,20,75,130.4,86.4,32.2,11.8
944,20,75,124.1,81.0,35.3,7.8
945,20,75,119.4,79.0,35.5,5.0
946,20,75,126.0,83.8,32.7,9.4
947,20,75,125.3,84.3,34.2,6.9
948,20,75,121.6,80.5,34.1,7.0
949,20,75,119.0,77.7,34.6,6.7
950,20,80,131.3,85.4,35.3,10.6
951,20,80,138.8,92.3,35.4,11.1
952,20,80,127.7,83.2,37.2,7.3
953,20,80,125.0,80.7,36.8,7.5
954,20,80,121.7,78.8,37.0,5.8
955,20,80,125.2,79.2,38.3,7.7
956,20,80,127.5,83.6,36.2,7.8
957,20,80,126.7,83.4,36.1,7.2
958,20,80,123.7,80.1,36.5,7.0
959,20,80,124.2,80.0,37.5,6.7
960,20,85,128.6,81.0,39.8,7.8
961,20,85,126.6,80.4,39.3,7.0
962,20,85,129.2,84.2,38.8,6.2
963,20,85,123.5,78.0,40.4,5.1
964,20,85,130.8,85.5,38.4,6.9
965,20,85,132.6,87.6,37.5,7.5
966,20,85,130.6,85.7,37.4,7.5
967,20,85,131.3,84.2,39.7,7.4
968,20,85,130.6,82.2,39.4,9.0
969,20,85,127.9,80.3,37.4,10.2
970,20,90,130.2,81.7,40.3,8.2
971,20,90,130.5,80.8,40.8,9.0
972,20,90,128.5,80.2,43.3,5.0
973,20,90,129.0,81.4,42.7,5.0
974,20,90,135.9,85.5,41.6,8.8
975,20,90,129.1,82.5,41.6,5.0
976,20,90,129.5,81.2,41.5,6.9
977,20,90,133.3,84.0,40.8,8.5
978,20,90,133.1,84.2,42.8,6.1
979,20,90,129.4,82.2,41.4,5.8
980,20,95,131.3,81.9,41.5,7.9
